vocab,evaluation,difflib
butter,FOUND,butter
butterlettuce,NOT FOUND,"['lettuce', 'butterflies', 'buttered']"
butterfinger,NOT FOUND,"['butteridge', 'uttering', 'butterflies']"
buttermilkbiscuit,NOT FOUND,"['buttermilk', 'butterflies', 'uttermost']"
butternutsquash,NOT FOUND,"['buttercups', 'bitterness', 'buttress']"
buttonmushrooms,NOT FOUND,"['mushrooms', 'mushroom', 'buttonholes']"
cabbage,FOUND,cabbage
caesarsalad,NOT FOUND,"['caesars', ""caesar's"", 'caesar']"
cake,FOUND,cake
calamari,NOT FOUND,"['lamar', 'calamity', 'colmar']"
calzone,NOT FOUND,"['alone', 'chaloner', 'malone']"
canadianbacon,NOT FOUND,"['canadian', 'canadians', 'carnation']"
candy,FOUND,candy
candybar,NOT FOUND,"['candy', 'calendar', 'candor']"
candycane,NOT FOUND,"['anodyne', 'andante', 'candy']"
cannoli,NOT FOUND,"['cannot', 'cannon', 'annapolis']"
cantaloupe,NOT FOUND,"['catalogue', 'catalogues', 'catalogued']"
capncrunch,NOT FOUND,"['punch', 'cruncher', 'crunching']"
cappuccino,NOT FOUND,"['clapping', 'cappadocian', 'jannuccio']"
carneasada,NOT FOUND,"['carnes', 'canada', 'creased']"
carnitas,NOT FOUND,"['critias', ""anita's"", 'carts']"
carrot,FOUND,carrot
carrotcake,NOT FOUND,"['carrot', 'caretaker', 'partake']"
carrots,FOUND,carrots
cashew,NOT FOUND,"['cashed', 'shew', 'chew']"
cashews,NOT FOUND,"['shews', 'cases', 'ashes']"
cassava,NOT FOUND,"['casanova', 'cassandra', 'cass']"
casserole,FOUND,casserole
cat,FOUND,cat
catfish,NOT FOUND,"['crayfish', 'crawfish', 'fish']"
cauliflower,FOUND,cauliflower
caviar,NOT FOUND,"['caviare', 'octavia', 'clavier']"
celeriac,NOT FOUND,"['cleric', 'celia', 'electric']"
celery,FOUND,celery
cereal,NOT FOUND,"['cereals', 'cerebral', 'real']"
cerealbar,NOT FOUND,"['cereals', 'cerebral', 'cellar']"
chalupa,NOT FOUND,"['chap', 'chapman', 'scalp']"
chard,NOT FOUND,"['hard', 'char', 'card']"
cheddar,FOUND,cheddar
cheddarcheese,NOT FOUND,"['cheddars', 'cheddar', 'searches']"
cheese,FOUND,cheese
cheesecurds,NOT FOUND,"['cheeses', ""cheesacre's"", 'cheese']"
cheesepuff,NOT FOUND,"['cheese', 'cheeses', 'cheesacre']"
cheesestick,NOT FOUND,"['cheeses', 'cheese', 'seasick']"
cheeseburger,NOT FOUND,"['cheese', 'cheesacre', 'burger']"
cheesecake,NOT FOUND,"['chesapeake', 'cheese', 'cheesacre']"
cheesesteak,NOT FOUND,"['cheeses', 'cheese', 'beefsteak']"
cheetos,NOT FOUND,"['sheets', 'cheese', 'cheers']"
cheezits,NOT FOUND,"['chemists', 'sheets', 'chests']"
cheezit,NOT FOUND,"['chit', 'chee', 'chemist']"
cherries,FOUND,cherries
cherry,FOUND,cherry
cherrypie,NOT FOUND,"['cherrie', 'cherries', 'cherry']"
chicken,FOUND,chicken
chickenalfredo,NOT FOUND,"['thickened', 'checkered', 'chicken']"
chickenandrice,NOT FOUND,"['chickadee', 'chickie', 'chicken']"
chickenandwaffles,NOT FOUND,"['chickens', 'chickadee']"
chickenbarbecue,NOT FOUND,"['chickadee', 'chicken', 'chickens']"
chickenbreast,NOT FOUND,"['chickens', 'chicken', 'thickest']"
chickenenchilada,NOT FOUND,"['thickened', 'chicken']"
chickenfingers,NOT FOUND,"['thickening', 'chickens', 'sickening']"
chickenfriedrice,NOT FOUND,"['thickened', 'checkered', 'chickie']"
chickenfriedsteak,NOT FOUND,"['chiefest', 'chickens', 'thickened']"
chickenlomein,NOT FOUND,"['chicken', 'thickening', 'chinamen']"
chickenmarsala,NOT FOUND,"['chickens', 'chicken', 'chickamauga']"
chickennoodlesoup,NOT FOUND,['chickens']
chickennoodles,NOT FOUND,"['chickens', 'noodles', 'chicken']"
chickennuggets,NOT FOUND,"['chickens', 'thickening', 'nuggets']"
chickenparmesan,NOT FOUND,"['parmesan', 'chinamen', 'chinaman']"
chickenpotpie,NOT FOUND,"['chickie', 'chicken', 'chickens']"
chickensalad,NOT FOUND,"['chickens', 'chicken', 'thickened']"
chickensandwich,NOT FOUND,"['sandwich', 'chickens', 'icelandic']"
chickenstrips,NOT FOUND,"['chickens', 'chicken', 'chichester']"
chickenstromboli,NOT FOUND,"['chickens', 'chichester', 'chicken']"
chickentandoori,NOT FOUND,"['chicken', 'chickens']"
chickentender,NOT FOUND,"['thickened', 'cricketer', 'chicken']"
chickentenders,NOT FOUND,"['chickens', 'thickened', 'engenders']"
chickenwing,NOT FOUND,"['thickening', 'sickening', 'chicken']"
chickenwings,NOT FOUND,"['thickening', 'chickens', 'sickening']"
chickpea,NOT FOUND,"['chickie', 'chicken', 'chick']"
chili,FOUND,chili
chilibean,NOT FOUND,"['chillen', 'caliban', 'chilblains']"
chilipepper,NOT FOUND,"['clipper', 'philippe', 'pepper']"
chinese,FOUND,chinese
chinesefood,NOT FOUND,"['chinese', 'chinook', 'chested']"
chip,FOUND,chip
chipotlechicken,NOT FOUND,"['thicken', 'chicken', 'chechen']"
chips,FOUND,chips
chitterlings,NOT FOUND,"['chattering', 'hitting', 'twittering']"
chives,NOT FOUND,"['hives', 'archives', 'achieves']"
chocolate,FOUND,chocolate
chocolatechip,NOT FOUND,"['chocolate', 'schoolmate', 'schoolmates']"
chocolatechipcookie,NOT FOUND,['chocolate']
chocolatechipcookies,NOT FOUND,['chocolate']
chocolatechips,NOT FOUND,"['chocolate', 'schoolmates', 'catechism']"
chocolatecreampie,NOT FOUND,"['chocolate', 'schoolmaster', 'schoolmasters']"
chocolatepie,NOT FOUND,"['chocolate', 'schoolmate', 'schoolmates']"
chofan,NOT FOUND,"['chan', 'hoffman', 'honan']"
choppedsalad,NOT FOUND,"['chopped', 'hopped', 'cropped']"
chowmein,NOT FOUND,"['comin', 'cowering', 'comedian']"
chowder,NOT FOUND,"['shower', 'powder', 'lowder']"
chowmein,NOT FOUND,"['comin', 'cowering', 'comedian']"
churro,NOT FOUND,"['hurry', 'huron', 'curry']"
chutney,NOT FOUND,"['chute', 'courtney', 'putney']"
cilantro,NOT FOUND,"['canto', 'citron', 'canton']"
cinnamon,FOUND,cinnamon
cinnamonbun,NOT FOUND,"['cinnamon', 'infamous', 'chinamen']"
cinnamonroll,NOT FOUND,"['cinnamon', 'controlled', 'control']"
clam,FOUND,clam
clamchowder,NOT FOUND,"['lowder', 'clamor', 'clavichord']"
clementine,NOT FOUND,"['clement', 'cemented', 'cement']"
clubsandwich,NOT FOUND,"['sandwich', 'sandwiches', 'icelandic']"
cobbler,FOUND,cobbler
coco,NOT FOUND,"['cocoa', 'coo', 'coop']"
coconut,NOT FOUND,"['cocoanut', 'cocoanuts', 'coon']"
coconutcustardpie,NOT FOUND,['cocoanuts']
coconutmilk,NOT FOUND,"['cocoanut', 'cocoanuts', 'colonial']"
cod,FOUND,cod
coffee,FOUND,coffee
coffeebean,NOT FOUND,"['coffee', 'offend', 'feeble']"
coleslaw,NOT FOUND,"['collar', 'olenska', 'foresaw']"
collard,NOT FOUND,"['collared', 'collar', 'pollard']"
collardgreens,NOT FOUND,"['collars', 'colleges', 'collared']"
combinationfriedrice,NOT FOUND,"['combination', 'combinations', 'contamination']"
congee,NOT FOUND,"['congested', 'congealed', 'cone']"
cookedcatfish,NOT FOUND,"['codfish', 'cooked', 'commendations']"
cookedchicken,NOT FOUND,"['chicken', 'chickens', 'woodchuck']"
cookedham,NOT FOUND,"['cooked', 'crooked', 'uncooked']"
cookie,FOUND,cookie
corn,FOUND,corn
corndog,NOT FOUND,"['corned', 'cordon', 'corn']"
cornonthecob,NOT FOUND,"['corinthe', 'coronation', 'connection']"
cornbread,NOT FOUND,"['cornered', 'corned', 'conrad']"
corndog,NOT FOUND,"['corned', 'cordon', 'corn']"
cornedbeef,NOT FOUND,"['corned', 'scorned', 'concede']"
cornedbeefandcabbage,NOT FOUND,[]
cornmeal,FOUND,cornmeal
cosmicbrownies,NOT FOUND,"['brownies', 'cronies', 'brownie']"
cottagecheese,NOT FOUND,"['cottages', 'cottagers', 'cottage']"
couscous,NOT FOUND,"['luscious', 'scouts', 'cosmos']"
crab,FOUND,crab
crabcake,NOT FOUND,"['crackle', 'cracker', 'cracked']"
crablegs,NOT FOUND,"['cables', 'rambles', 'cradles']"
cracker,FOUND,cracker
crackers,FOUND,crackers
craisin,NOT FOUND,"['raisin', 'raisins', 'raising']"
cranberries,FOUND,cranberries
cranberry,FOUND,cranberry
cranberrysauce,NOT FOUND,"['cranberry', 'cranberries', 'abeyance']"
cream,FOUND,cream
creamcheese,NOT FOUND,"['reaches', 'creche', 'creams']"
creamofmushroomsoup,NOT FOUND,['mushrooms']
creamedcorn,NOT FOUND,"['screamed', 'dreamer', 'dreamed']"
creampuff,NOT FOUND,"['cream', 'cramp', 'scruff']"
cremebrulee,NOT FOUND,"['tremble', 'remembered', 'referee']"
crispyduck,NOT FOUND,"['crisply', 'crisp']"
croissant,NOT FOUND,"['cross', 'criss', 'puissant']"
crouton,NOT FOUND,"['croutons', 'crofton', 'cotton']"
crumpet,NOT FOUND,"['trumpet', 'trumpets', 'strumpet']"
cubesteak,NOT FOUND,"['beefsteak', 'bespeak', 'steak']"
cucumber,FOUND,cucumber
cupcake,NOT FOUND,"['cake', 'pancake', 'clucked']"
curry,FOUND,curry
custard,FOUND,custard
daikon,NOT FOUND,"['dickon', 'davison', 'drain']"
dairy,FOUND,dairy
danish,FOUND,danish
darkchocolate,NOT FOUND,"['chocolate', 'schoolmate', 'schoolmates']"
date,FOUND,date
dates,FOUND,dates
deepfriedsnickers,NOT FOUND,"['experiences', 'drinkers', 'defences']"
delimeat,NOT FOUND,"['delineate', 'delineated', 'deliberate']"
desert,FOUND,desert
dessert,FOUND,dessert
deviledeggs,NOT FOUND,"['devils', 'reviled', 'divides']"
dill,FOUND,dill
dip,FOUND,dip
dog,FOUND,dog
dolphin,FOUND,dolphin
donut,NOT FOUND,"['dont', 'doubt', ""don't""]"
doritos,NOT FOUND,"['doris', 'dormitories', 'orbits']"
dough,FOUND,dough
doughnut,FOUND,doughnut
dragonfruit,NOT FOUND,"['ragout', 'dragon', 'dragoon']"
dressing,FOUND,dressing
duck,FOUND,duck
ducksauce,NOT FOUND,"['sauce', 'ducks', 'sauces']"
dumplings,FOUND,dumplings
dungenesscrab,NOT FOUND,"['dungeons', 'drunkenness', 'genera']"
durian,NOT FOUND,"['during', 'durand', 'adrian']"
easterpudding,NOT FOUND,"['studding', 'westering', 'pestering']"
eclair,NOT FOUND,"['clair', 'claire', 'lair']"
eclaire,NOT FOUND,"['claire', 'declare', 'clare']"
edamame,NOT FOUND,"['dammed', 'damage', 'dame']"
eel,FOUND,eel
egg,FOUND,egg
eggroll,NOT FOUND,"['roll', 'troll', 'rolls']"
eggsalad,NOT FOUND,"['salad', 'zealand', 'sala']"
eggnog,NOT FOUND,"['pegging', 'legging', 'begging']"
eggplant,NOT FOUND,"['plant', 'pliant', 'plants']"
eggroll,NOT FOUND,"['roll', 'troll', 'rolls']"
eggs,FOUND,eggs
eggsbenedict,NOT FOUND,"['benedict', 'benediction', 'benedictions']"
elbowmacaroni,NOT FOUND,"['macaroni', 'bowman', 'emaciation']"
elephantear,NOT FOUND,"['elephant', 'elephants', ""elephant's""]"
enchilada,NOT FOUND,"['hilda', 'child', 'pencilled']"
energybar,NOT FOUND,"['energy', 'henery', 'generator']"
energybites,NOT FOUND,"['energies', 'energy', 'generates']"
englishmuffin,NOT FOUND,"['englishmen', 'englishman', 'englishwoman']"
escargot,NOT FOUND,"['cargo', 'iscariot', 'spargo']"
fajita,NOT FOUND,"['fait', 'fatal', 'faria']"
falafel,NOT FOUND,"['fall', 'flannel', 'falsely']"
fat,FOUND,fat
fats,NOT FOUND,"['flats', 'feats', 'fates']"
fetacheese,NOT FOUND,"['fetches', 'cheese', 'therese']"
fettuccine,NOT FOUND,"['lettuce', 'fretting', 'fetching']"
fettuccinealfredo,NOT FOUND,['fettered']
fettucine,NOT FOUND,"['lettuce', 'fretting', 'fetching']"
fettucinealfredo,NOT FOUND,"['fettered', 'unfettered']"
fig,FOUND,fig
filet,NOT FOUND,"['fillet', 'file', 'fillets']"
filetmignon,NOT FOUND,"['mignon', 'wilmington', 'reflection']"
fish,FOUND,fish
fishandchips,NOT FOUND,"['friendships', 'hardships', 'franchise']"
fishfillet,NOT FOUND,"['fillet', 'skillet', 'fillets']"
fishsandwich,NOT FOUND,"['sandwich', 'sandwiches', 'standish']"
fishsticks,NOT FOUND,"['sticks', 'fiddlesticks', 'fisticuffs']"
flan,NOT FOUND,"['flank', 'lan', 'fan']"
flatbread,NOT FOUND,"['flared', 'flattered', 'flatheads']"
flour,FOUND,flour
fondue,NOT FOUND,"['fondle', 'fonder', 'fond']"
fortunecookie,NOT FOUND,"['fortune', 'uncooked', 'fortunes']"
foulhalabi,NOT FOUND,['lullabies']
frenchbread,NOT FOUND,"['wrenched', 'forehead', 'drenched']"
frenchdip,NOT FOUND,"['french', 'friendship', 'wrenched']"
frenchfries,NOT FOUND,"['franchises', 'trenches', 'french']"
frenchfry,NOT FOUND,"['french', 'wrench', 'trench']"
frenchonionsoup,NOT FOUND,"['recognition', 'frenchwoman', ""frenchman's""]"
frenchtoast,NOT FOUND,"['forecast', 'frenchwoman', ""frenchman's""]"
fried,FOUND,fried
friedchicken,NOT FOUND,"['chicken', 'chickens', 'frederick']"
friedeggs,NOT FOUND,"['friends', 'friendless', 'rides']"
friedfish,NOT FOUND,"['fiendish', 'reddish', 'friends']"
friedpickles,NOT FOUND,"['freckles', 'pickles', 'freckle']"
friedrice,NOT FOUND,"['frederic', 'fierce', 'frederick']"
friedscallops,NOT FOUND,"['recalls', 'scollops', 'friendships']"
friedshrimp,NOT FOUND,"['friendship', 'friendships', 'shrimp']"
fries,NOT FOUND,"['furies', 'fringes', 'friends']"
fritopie,NOT FOUND,"['frailties', 'fitzpiers', 'rope']"
frogleg,NOT FOUND,"['role', 'frog', 'fogg']"
frozendinner,NOT FOUND,"['frontier', 'fazender', 'render']"
frozenyogurt,NOT FOUND,"['frozen', 'gardencourt', 'fancourt']"
fruit,FOUND,fruit
fruitbythefoot,NOT FOUND,"['whitefoot', 'fairyfoot']"
fruitcup,NOT FOUND,"['fruit', 'fruitful', 'fruits']"
fruitsalad,NOT FOUND,"['fruits', 'friesland', 'salad']"
fruitsnack,NOT FOUND,"['fruits', 'snack', 'fruition']"
fruitsnacks,NOT FOUND,"['fruits', 'fruitless', 'furnaces']"
fruits,FOUND,fruits
fudge,FOUND,fudge
funnelcake,NOT FOUND,"['funnel', 'funnels', 'unlocked']"
garbanzobeans,NOT FOUND,"['arabians', 'abandons', 'barbadoes']"
garlic,FOUND,garlic
garlicbread,NOT FOUND,"['garlic', 'garbed', 'gnarled']"
generaltsoschicken,NOT FOUND,"['generalship', 'generative', 'generation']"
generaltsoschicken,NOT FOUND,"['generalship', 'generative', 'generation']"
ghee,NOT FOUND,"['hee', 'gee', 'thee']"
ginger,FOUND,ginger
gingerpork,NOT FOUND,"['ginger', 'interior', 'ingeborg']"
gizzard,FOUND,gizzard
gnocchi,NOT FOUND,"['pinocchio', ""pinocchio's"", 'notch']"
goatcheese,NOT FOUND,"['cheese', 'gatherers', 'watches']"
goldfish,FOUND,goldfish
goldfishcracker,NOT FOUND,"['goldfish', 'cracker', 'disgrace']"
gordita,NOT FOUND,"['gordian', 'gloria', 'rita']"
gouda,NOT FOUND,"['gourd', 'gould', 'aouda']"
grahamcracker,NOT FOUND,"['cracker', 'crackers', 'character']"
grahamcrackers,NOT FOUND,"['crackers', 'cracker', 'characters']"
grain,FOUND,grain
grains,FOUND,grains
granola,NOT FOUND,"['gran', 'gaol', 'gala']"
granolabar,NOT FOUND,"['malabar', 'granary', 'granada']"
grape,FOUND,grape
grapefruit,NOT FOUND,"['recruit', 'refit', 'recruits']"
grapes,FOUND,grapes
gravy,FOUND,gravy
greenbean,NOT FOUND,"['greene', 'greenland', 'green']"
greenbeans,NOT FOUND,"['greens', 'greene', 'greenness']"
greenonion,NOT FOUND,"['retention', 'greenwood', 'reunion']"
greenonions,NOT FOUND,"['greenish', 'pretensions', 'onions']"
greenpea,NOT FOUND,"['greene', 'green', 'greenery']"
greenpepper,NOT FOUND,"['greenery', 'pepper', 'greene']"
greenpeppers,NOT FOUND,"['peppers', 'greenery', 'creepers']"
greenleaflettuce,NOT FOUND,"['greenwater', 'lettuce']"
greens,FOUND,greens
grilledcheese,NOT FOUND,"['grilled', 'riches', 'grille']"
grilledchicken,NOT FOUND,"['grilled', 'chicken', 'gretchen']"
grilledfish,NOT FOUND,"['grilled', 'goldfish', 'grille']"
grilledpeppers,NOT FOUND,"['peppers', 'grilled', 'ringleaders']"
grilledvegetables,NOT FOUND,"['vegetables', 'vegetable', 'regrettable']"
grits,NOT FOUND,"['grit', 'gris', 'gits']"
groundbeef,NOT FOUND,"['grounded', 'ground', 'rounder']"
groundcherries,NOT FOUND,"['groceries', 'cherries', 'roundheads']"
groundchuck,NOT FOUND,"['ground', 'woodchuck', 'groundwork']"
groundround,NOT FOUND,"['grounded', 'rondon', 'ground']"
groundsirloin,NOT FOUND,"['rousillon', 'grounds', 'rounding']"
grouper,NOT FOUND,"['grouped', 'roper', 'group']"
gruyere,NOT FOUND,"['ruyter', 'grayer', ""ye're""]"
guacamole,NOT FOUND,"['gambol', 'gamble', 'cajole']"
guava,NOT FOUND,"['guiana', 'lava', 'java']"
guineapig,NOT FOUND,"['guinea', 'guineas', 'unmeaning']"
gum,FOUND,gum
gumbo,NOT FOUND,"['gum', 'gub', 'umbool']"
gummibear,NOT FOUND,"['summer', 'number', 'mummer']"
gummybears,NOT FOUND,"['summers', 'numbers', 'mummers']"
gummyworms,NOT FOUND,"['worms', 'gummy', 'rumors']"
gyro,NOT FOUND,"['grow', 'gros', 'grog']"
haggis,NOT FOUND,"['hags', 'higgins', 'hangs']"
halibut,NOT FOUND,"['haut', 'halt', 'hurlbut']"
ham,FOUND,ham
hamandcheesesandwich,NOT FOUND,[]
hamburger,NOT FOUND,"['hamburg', 'burger', 'limburger']"
hardboiledegg,NOT FOUND,"['harbored', 'harboured', 'harold']"
hash,FOUND,hash
hashbrowns,NOT FOUND,"['browns', ""brown's"", 'washburn']"
hashbrown,NOT FOUND,"['shown', 'brown', 'washburn']"
hashbrowns,NOT FOUND,"['browns', ""brown's"", 'washburn']"
hazelnut,NOT FOUND,"['hazel', 'walnut', 'walnuts']"
hibachi,NOT FOUND,"['bach', 'kihachi', 'ibrahim']"
hoagie,NOT FOUND,"['homage', 'hostage', 'osage']"
hominy,NOT FOUND,"['homily', 'shiny', 'minty']"
honey,FOUND,honey
honeybun,NOT FOUND,"['honey', 'honeymoon', 'honeycomb']"
honeydew,NOT FOUND,"['honeyed', 'honey', 'horned']"
honeydewmelon,NOT FOUND,"['honeymoon', 'wonderment', 'honeyed']"
horsdoeuvres,NOT FOUND,"['whosoever', 'ourselves', 'orders']"
hotbrown,NOT FOUND,"['brown', 'outgrown', 'thrown']"
hotdog,NOT FOUND,"['outdo', 'hondo', 'hodge']"
hotpocket,NOT FOUND,"['pocket', 'pockets', 'hooke']"
hotsauce,NOT FOUND,"['sauce', 'sauces', 'saucer']"
hotdog,NOT FOUND,"['outdo', 'hondo', 'hodge']"
hotpot,NOT FOUND,"['hoot', 'outpost', 'shoot']"
housefriedrice,NOT FOUND,"['frederic', 'housebreaker', 'hurricane']"
huevosrancheros,NOT FOUND,"['remonstrances', 'utterances', 'ranches']"
hummus,NOT FOUND,"['hums', 'humours', 'humbugs']"
hushpuppy,NOT FOUND,"['puppy', 'supply', 'unhappy']"
ice,FOUND,ice
icecream,NOT FOUND,"['cream', 'scream', 'creamy']"
icecreamsandwich,NOT FOUND,"['sandwich', 'icelandic', 'sandwiches']"
iceberglettuce,NOT FOUND,"['lettuce', 'iceberg', 'icebergs']"
intestine,NOT FOUND,"['intestines', 'intestinal', 'intertwined']"
italian,FOUND,italian
italianfood,NOT FOUND,"['italian', 'italians', 'talisman']"
italiansausage,NOT FOUND,"['italians', 'sausage', 'italian']"
jackfruit,NOT FOUND,"['fruit', 'jackie', 'jacket']"
jalapeno,NOT FOUND,"['jalap', 'alan', 'kalganov']"
jam,FOUND,jam
jambalaya,NOT FOUND,"['malay', 'malady', 'himalayas']"
japanesefood,NOT FOUND,"['japanese', 'ransford', 'panelled']"
